Workout Type,Start,End,Duration,Active Energy (kcal),Resting Energy (kcal),Intensity (kcal/hr·kg),Max. Heart Rate (bpm),Avg. Heart Rate (bpm),Distance (km),Max. Speed (km/hr),Avg. Speed (km/hr),Flights Climbed,Elevation Ascended (m),Elevation Descended (m),Step Count,Step Cadence (spm),Swim Stroke Count,Swim Stroke Cadence (spm),Lap Length (km),Stroke Style,SWOLF Score,Water Salinity,Temperature (ºC),Humidity (%),Location,
Boxing,2024-12-28 22:33,2024-12-28 23:11,00:37:38,252.14912684379027,44.44483377149851,8.291858712832134,110.0,103.91666666666667,2.532281547118211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.129999999997665,76.0,,
Outdoor Walk,2024-12-24 19:02,2024-12-24 19:58,00:55:26,98.46796054335654,65.87598929059257,2.9817879818003887,0.0,0.0,1.6551119613865453,0.0,0.0,0.0,15.97,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.629999999997665,65.0,Outdoor,
Outdoor Run,2024-12-22 20:14,2024-12-22 20:34,00:19:59,154.15210345601344,23.51681137624236,9.750335466410954,0.0,0.0,2.79416803786104,0.0,0.0,0.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.719999999997697,67.0,Outdoor,
Outdoor Walk,2024-12-22 10:44,2024-12-22 13:33,02:49:01,137.6640134377399,199.92353897831129,1.7206328973539131,117.0,90.15789473684211,0.4142134166662581,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,Outdoor,
Outdoor Walk,2024-12-21 21:00,2024-12-21 21:28,00:27:53,30.274761698908637,32.83776696861696,2.095680563389488,0.0,0.0,0.36303876006184144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.349999999997692,62.0,Outdoor,
Squash,2024-12-20 19:05,2024-12-20 19:16,00:10:40,74.82099999999969,12.89440545513608,8.873472345782638,0.0,0.0,0.3796754126637243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,24.839999999997588,47.0,,
Squash,2024-12-20 16:59,2024-12-20 19:00,02:00:58,681.7450000000039,142.22112372597024,7.0926875618795,0.0,0.0,3.7461668180744163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,32.479999999997574,25.0,,
Squash,2024-12-19 18:34,2024-12-19 21:33,02:58:31,1204.7839999999958,209.89166620689952,8.15825432455364,0.0,0.0,5.476383551337989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,27.98999999999762,36.0,,
Outdoor Walk,2024-12-18 20:53,2024-12-18 21:33,00:39:16,94.68092297120523,46.9730179073109,3.8230415890537475,0.0,0.0,1.6368885619409848,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.79999999999768,61.0,Outdoor,
Outdoor Walk,2024-12-18 14:44,2024-12-18 16:05,01:20:52,137.77413273502523,95.26314548325875,2.8945238931153425,0.0,0.0,2.695741301924456,0.0,0.0,0.0,21.93,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,22.589999999997588,42.0,Outdoor,
Squash,2024-12-18 12:39,2024-12-18 14:15,01:36:06,710.6598107497404,113.8150083963462,9.195867368262428,148.0,121.12,3.775019675356103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,21.339999999997644,44.0,,
Outdoor Walk,2024-12-18 12:01,2024-12-18 12:39,00:38:09,98.8290000000006,45.05200000000002,3.971559009830484,0.0,0.0,2.1883056469946167,0.0,0.0,0.0,37.64,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.779999999997642,46.0,Outdoor,
Squash,2024-12-16 17:29,2024-12-16 19:31,02:01:49,738.5367653896229,143.3909134356141,7.643786501391862,0.0,0.0,4.133832271098858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,38.72999999999752,26.0,,
Outdoor Walk,2024-12-16 12:29,2024-12-16 13:35,01:05:20,83.71426664095745,77.54351030282763,2.233777270167919,0.0,0.0,1.0003142936565503,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,33.959999999997535,34.0,Outdoor,
Outdoor Walk,2024-12-15 20:57,2024-12-15 21:23,00:26:23,64.02955738528765,31.674831156021174,3.913685134359686,0.0,0.0,1.1674860662997235,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,27.14999999999759,55.00000000000001,Outdoor,
Squash,2024-12-15 17:46,2024-12-15 20:03,02:17:12,880.8460000000041,161.08479368105282,7.699117272923002,0.0,0.0,3.2309474781898317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,31.31999999999755,35.0,,
Outdoor Walk,2024-12-14 16:30,2024-12-14 18:05,01:01:43,131.46157532328812,106.79048251470434,4.086290387856901,0.0,0.0,2.878148759542388,0.0,0.0,0.0,24.78,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,24.329999999997597,50.0,Outdoor,
Squash,2024-12-12 17:57,2024-12-12 20:03,02:05:38,754.9130000000018,148.1014186574207,7.292026221624187,0.0,0.0,3.539172169269761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,24.779999999997585,51.0,,
Outdoor Walk,2024-12-11 22:54,2024-12-11 23:39,00:44:59,84.42219585314274,52.95074207766803,3.2282819475244167,0.0,0.0,1.6067758948600386,0.0,0.0,0.0,14.02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.05999999999767,71.0,Outdoor,
Outdoor Walk,2024-12-10 21:27,2024-12-10 22:02,00:35:33,60.04455891116425,42.21945193895378,3.0524060303380764,0.0,0.0,1.2583951301893685,0.0,0.0,0.0,13.56,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.469999999997697,70.0,Outdoor,
Outdoor Walk,2024-12-10 11:37,2024-12-10 11:50,00:12:54,25.907600041369072,15.245907032027745,3.2099056939025643,0.0,0.0,0.46957324778451587,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,18.939999999997667,53.0,Outdoor,
Squash,2024-12-09 17:50,2024-12-09 20:13,02:22:28,907.7858293598483,167.73400000000012,7.579426602048012,0.0,0.0,3.6252334530213846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,21.809999999997615,49.0,,
Squash,2024-12-08 17:17,2024-12-08 19:17,01:59:46,847.2416082861789,140.19920592228178,8.646590811676324,0.0,0.0,4.064264976434642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,19.399999999997647,51.0,,
Outdoor Walk,2024-12-07 19:46,2024-12-07 20:20,00:33:47,53.89000831794647,39.94809334725621,2.927734806384935,0.0,0.0,1.195517648074776,0.0,0.0,0.0,11.17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.199999999997658,76.0,Outdoor,
Run,2024-12-07 12:40,2024-12-07 13:56,01:15:46,446.0,88.66273156572568,0.0,0.0,0.0,2.3932188130014014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-12-07 12:49,2024-12-07 13:56,01:06:34,133.45200000000307,78.80758948117429,3.2798994797921046,0.0,0.0,2.049181395674823,0.0,0.0,0.0,36.36,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,24.98999999999762,75.0,,
Squash,2024-12-05 18:25,2024-12-05 19:59,01:34:16,669.1488240692488,111.6149649538354,8.904439219598865,0.0,0.0,3.3203170604435726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,31.62999999999755,25.0,,
Outdoor Walk,2024-12-04 16:11,2024-12-04 18:24,00:29:57,50.762651627630916,151.88305383550656,4.028538485940912,0.0,0.0,0.7053310243997257,0.0,0.0,0.0,17.09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,24.999999999997613,43.0,Outdoor,
Squash,2024-12-02 17:42,2024-12-02 20:07,02:24:57,663.5819999999977,169.46911842798363,4.953772788451713,0.0,0.0,3.209257283848943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,28.85999999999757,36.0,,
Outdoor Walk,2024-12-02 17:13,2024-12-02 17:40,00:26:49,73.93499623421724,31.036000000000012,4.206480408509941,135.0,112.33333333333333,1.6551314877553378,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,29.009999999997547,35.0,Outdoor,
Squash,2024-12-01 17:15,2024-12-01 19:35,02:19:54,823.8165209016973,161.96310333779985,6.878653170438075,0.0,0.0,3.9827274699669797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,19.969999999997697,74.0,,
Squash,2024-11-30 15:09,2024-11-30 17:01,01:52:05,771.8803711007914,132.4730000000001,8.734806146933554,0.0,0.0,3.962308142925613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,21.68999999999761,81.0,,
Squash,2024-11-29 17:34,2024-11-29 18:17,00:43:30,298.6535558028833,51.006000000000014,8.330490770625925,0.0,0.0,1.5660274396261666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,28.899999999997533,49.0,,
Outdoor Run,2024-11-27 19:43,2024-11-27 20:37,00:53:51,259.14851996183165,63.526615868646275,6.527137492282391,0.0,0.0,5.201174551140373,0.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.919999999997685,76.0,Outdoor,
Outdoor Walk,2024-11-26 16:03,2024-11-26 16:25,00:21:55,63.00705804883749,25.870516619867338,4.439586201631349,0.0,0.0,1.3903742391737177,0.0,0.0,0.0,13.14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,25.079999999997597,66.0,Outdoor,
Other,2024-11-26 13:20,2024-11-26 15:18,01:57:26,535.3921960178278,134.38400000000007,5.580237516227947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,23.43999999999761,71.0,,
Other,2024-11-21 18:20,2024-11-21 21:42,03:22:27,1136.1146529483153,232.67097584956588,6.624746522948981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,28.86999999999756,39.0,,
Outdoor Walk,2024-11-10 17:19,2024-11-10 18:30,01:11:06,163.3529016662869,84.51761299659009,3.681886140890445,0.0,0.0,3.0420361554611013,0.0,0.0,0.0,71.52,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.679999999997676,63.0,Outdoor,
Squash,2024-11-06 19:22,2024-11-06 21:39,02:17:32,684.4799999999935,160.85033038978142,5.83521523995454,0.0,0.0,3.2513987751845272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,18.45999999999765,70.0,,
Squash,2024-11-03 17:51,2024-11-03 19:54,02:02:52,827.6491794548331,143.9335512937091,8.412712294791476,0.0,0.0,4.038142576143844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,19.869999999997674,50.0,,
Squash,2024-10-31 19:08,2024-10-31 20:33,01:24:11,579.516860495284,98.79794717744208,8.29652133752855,0.0,0.0,2.457136255269637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,13.969999999997754,70.0,,
Badminton,2024-10-27 14:30,2024-10-27 15:01,00:30:54,142.2069999999997,35.70097652695795,4.888787632605176,0.0,0.0,0.5281609655830544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,23.039999999997633,46.0,,
Hiking,2024-10-26 16:49,2024-10-26 18:12,01:22:22,143.98787732082542,97.6496019737835,3.0761515302797293,0.0,0.0,3.453302305045305,0.0,0.0,0.0,15.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,21.129999999997665,36.0,,
Squash,2024-10-24 18:31,2024-10-24 21:32,03:00:43,1198.8600000000033,211.38693476205205,8.002121860276047,0.0,0.0,4.498353544613346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.219999999997697,56.00000000000001,,
Squash,2024-10-20 18:09,2024-10-20 20:10,02:01:16,874.9476195514826,143.1960000000001,9.076672950420038,0.0,0.0,3.168773594213417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.419999999997685,66.0,,
Squash,2024-10-10 18:28,2024-10-10 21:31,03:02:34,1385.052187264896,213.96541572010398,9.450360779260325,0.0,0.0,4.9816174688006285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,15.54999999999768,59.0,,
Outdoor Walk,2024-10-10 15:29,2024-10-10 16:59,01:30:15,133.2394298897361,106.40200000000007,2.5912097993120424,0.0,0.0,2.072605428315299,0.0,0.0,0.0,66.55,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,18.50999999999766,54.0,Outdoor,
Outdoor Walk,2024-10-09 21:12,2024-10-10 00:50,00:18:14,50.25473003076202,224.7193421820885,0.0,74.0,74.0,1.3370253315125593,0.0,0.0,0.0,13.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.569999999997663,66.0,Outdoor,
Squash,2024-10-07 18:57,2024-10-07 20:23,01:25:05,720.7000000000003,100.66200000000009,10.422822179646907,0.0,0.0,2.7547502267516686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,11.85999999999774,66.0,,
Outdoor Walk,2024-10-07 16:59,2024-10-07 18:47,01:48:10,217.07724932449338,127.70400000000008,3.2796912490418246,0.0,0.0,4.083687644407619,0.0,0.0,0.0,91.65,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,13.249999999997726,66.0,Outdoor,
Squash,2024-10-06 17:57,2024-10-06 19:35,01:37:48,679.4742715638879,114.74578275036878,8.631039565656717,124.00000000000001,118.875,2.7444701286181807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,18.169999999997685,56.00000000000001,,
Outdoor Run,2024-09-28 17:01,2024-09-28 17:45,00:44:10,273.86754586810014,52.949677654864274,8.045676061222911,0.0,0.0,5.69420403406932,0.0,0.0,0.0,72.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.199999999997658,48.0,Outdoor,
Outdoor Walk,2024-09-27 18:12,2024-09-27 18:48,00:35:46,78.22054876354986,42.25200000000001,3.5587271076127283,0.0,0.0,2.5365090559292587,0.0,0.0,0.0,19.59,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.49999999999767,66.0,Outdoor,
Squash,2024-09-27 16:49,2024-09-27 18:05,01:15:32,627.2539804416169,88.92600000000003,10.099536066137846,0.0,0.0,2.9938381652603856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.30999999999767,57.99999999999999,,
Outdoor Walk,2024-09-24 18:47,2024-09-24 19:36,00:49:20,77.65547788126763,58.838826741534966,2.717687103064001,0.0,0.0,1.5097370024803094,0.0,0.0,0.0,9.94,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,18.29999999999768,66.0,Outdoor,
Outdoor Walk,2024-09-24 09:07,2024-09-24 17:16,08:09:09,711.5266664494751,575.3469999999993,2.5610368283380245,0.0,0.0,13.200420733707269,0.0,0.0,0.0,256.38,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.449999999997658,63.0,Outdoor,
Outdoor Walk,2024-09-23 16:25,2024-09-23 16:41,00:15:34,51.4503321824446,18.807662602879798,4.898379187377124,0.0,0.0,1.084878371083493,0.0,0.0,0.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.73999999999768,65.0,Outdoor,
